# Design Points of Design of Experiments
# Custom
# ,P7 - (B1_P1) a (degree) ,P8 - n (rev min^-1) ,P3 - fx-op (N) ,P4 - mx-op (J) 
Name,P7,P8,P3,P4
1,0,0,0,0
2,0,-2000,0.082571805,0.016258499
3,0,-4000,0.4963249,0.055567682
4,0,-6000,1.2725618,0.11603777
5,0,-8000,2.4309497,0.19710669
6,0,-10000,3.9428592,0.2981481
7,-2.5,0,0,0
8,-2.5,-2000,0.31976622,0.019064492
9,-2.5,-4000,1.5080595,0.066748112
10,-2.5,-6000,3.5890567,0.14137852
11,-2.5,-8000,6.6174731,0.24267942
12,-2.5,-10000,10.587978,0.36991742
13,-5,0,0,0
14,-5,-2000,0.58295631,0.024590503
15,-5,-4000,2.6034741,0.086748719
16,-5,-6000,6.1636934,0.18625222
17,-5,-8000,11.31061,0.32300198
18,-5,-10000,18.055817,0.49696669
19,-7.5,0,0,0
20,-7.5,-2000,0.87749779,0.032787338
21,-7.5,-4000,3.7857482,0.11663204
22,-7.5,-6000,8.9095211,0.25016749
23,-7.5,-8000,16.316837,0.43612328
24,-7.5,-10000,26.027412,0.67306376
25,-10,0,0,0
26,-10,-2000,1.1505702,0.04231637
27,-10,-4000,5.104383,0.15748399
28,-10,-6000,11.967079,0.34056771
29,-10,-8000,21.85017,0.59324396
30,-10,-10000,34.744766,0.91454053
31,-12.5,0,0,0
32,-12.5,-2000,1.3709316,0.052543204
33,-12.5,-4000,6.2477818,0.20458834
34,-12.5,-6000,14.899906,0.45396224
35,-12.5,-8000,27.128178,0.78940046
36,-12.5,-10000,42.984703,1.2125789
37,-15,0,0,0
38,-15,-2000,1.5339284,0.063731559
39,-15,-4000,6.9051948,0.24784839
40,-15,-6000,16.458134,0.5537855
41,-15,-8000,30.356129,0.98058069
42,-15,-10000,48.780586,1.5323035
43,-17.5,0,0,0
44,-17.5,-2000,1.7264802,0.076745294
45,-17.5,-4000,7.7389803,0.29700738
46,-17.5,-6000,18.450073,0.66420865
47,-17.5,-8000,33.840786,1.1741477
48,-17.5,-10000,54.486923,1.8401618
49,-20,0,0,0
50,-20,-2000,1.8598862,0.090175629
51,-20,-4000,8.3230772,0.34964296
52,-20,-6000,19.711905,0.77690768
53,-20,-8000,36.331886,1.3801851
54,-20,-10000,58.492546,2.164434
55,-22.5,0,0,0
56,-22.5,-2000,2.000773,0.1057267
57,-22.5,-4000,8.8700294,0.41160467
58,-22.5,-6000,21.036129,0.92021596
59,-22.5,-8000,38.510162,1.627233
60,-22.5,-10000,61.574738,2.5445917
61,-25,0,0,0
62,-25,-2000,2.1378114,0.12107529
63,-25,-4000,9.451108,0.47679681
64,-25,-6000,22.229183,1.0637761
65,-25,-8000,40.645683,1.8832034
66,-25,-10000,64.879349,2.9374707
